Headlines,Time,Description
We don't want our clients to chase this bounce: Strategist,"10:56  PM ET Thu, 23 April 2020",Wells Fargo investment committee is neutral on pharma stocks in the middle of the coronavirus pandemic. Their strategist Scott Wren shares some areas that they advise their clients to reduce exposure.
Jim Cramer: Stop buying index funds and buy these 'Covid winners'," 8:56  PM ET Thu, 23 April 2020","""Stop circling the wagons around index funds here,"" the ""Mad Money"" host said."
"Inovio expects to finish recruiting coronavirus vaccine volunteers by end of April, CEO says"," 8:17  PM ET Thu, 23 April 2020","""We expect to finish enrollment of all 40 volunteers before the end of April,"" Inovio CEO Dr. Joseph Kim said. The biotech firm has begun phase one trials."
,,
Domino's CEO on advertising spending: 'We're not slowing down at all'," 7:43  PM ET Thu, 23 April 2020","""We need to lean in even more to get the messages around value and around how we can safely serve our customers,"" Domino's Pizza CEO Ritch Allison said."
Cramer's lightning round: Marvell Technology is 'Mr. 5G'," 7:46  PM ET Thu, 23 April 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"European, US markets could fall 15% 'below the lows we've already seen': Strategist"," 5:07  AM ET Thu, 23 April 2020","Markets, especially developed ones, could still hit new lows despite showing resilience and making gains amid the ongoing coronavirus crisis, said Mark Jolley of CCB International Securities."
Digital Realty CEO says sustainability efforts are 'table stakes today'," 8:46  PM ET Wed, 22 April 2020","""We're focused on sustainability because it matters to our customs and because we think it's the right thing to do,"" Digital Realty CEO Bill Stein told CNBC's Jim Cramer."
Cramer's lightning round: I think Roku is good," 7:48  PM ET Wed, 22 April 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Victoria's Secret's woes are a microcosm for shopping malls, Jim Cramer says"," 7:20  PM ET Wed, 22 April 2020","Department stores are in trouble and the coronavirus pandemic is pulling the curtain on vulnerabilities for shopping malls, the ""Mad Money"" host said."
,,
"Stocks of 'good corporate citizens' such as Chipotle, Netflix are thriving, Jim Cramer says"," 6:46  PM ET Wed, 22 April 2020","""Turns out rewarding your employees and protecting your customers is good for business,"" the ""Mad Money"" host said."
"S&P 500 faces more weakness as pressure builds, chart analyst warns"," 7:17  AM ET Wed, 22 April 2020","Plunging oil prices and broad market uncertainty are pushing the index toward key support levels, technical analyst Mark Newton said."
Trump taps medical supplies-maker Puritan Medical to ramp up coronavirus swab testing production,"11:38  PM ET Tue, 21 April 2020",Puritan Medical executive Timothy Templet broke down the private manufacturers efforts to make up to 50 million swabs per month to combat Covid-19.
Markets may see middle of a V- and U-shaped recovery: Fidelity Investments,"11:17  PM ET Tue, 21 April 2020","Jurrien Timmer of Fidelity Investments says that the S&P 500 sitting in a trading range of between 2,500 and 2,900 suggests that markets may settle between the middle of a V- and U-shaped recovery in the next few weeks, if not months."
"Charts show the US could be able to reopen for business in three weeks, Jim Cramer says"," 7:28  PM ET Tue, 21 April 2020","""I'm still very worried about this pandemic … but the charts, as interpreted by Larry Williams, suggest that the future might be brighter than we expect,"" Cramer said."
Cramer's lightning round: I like Broadcom so much," 9:24  PM ET Tue, 21 April 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Jim Cramer says it's a 'mistake' for investors to read too deep into the oil collapse," 6:58  PM ET Tue, 21 April 2020","The stock market is ""rolling back some of those gains"" from the $2.2 trillion economic rescue package that Congress passed, the ""Mad Money"" host said."
"These stocks young investors are buying are 'very good for speculation,' Jim Cramer says"," 8:10  PM ET Tue, 21 April 2020","Robinhood trading app's top 10 stock picks for March is a ""fantastic list"" for younger investors, the ""Mad Money"" host said."
"Coronavirus harms the oil market more than OPEC friction, oil commodities expert says"," 9:08  PM ET Mon, 20 April 2020","""I would say that ... 15% of this is Saudi Arabia and Russia and 85% of it is Covid,"" RBN Energy CEO Rusty Braziel said of the state of the oil market."
Jim Cramer: Chipotle is a buy at this price," 7:45  PM ET Mon, 20 April 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Oil market is 'emblematic' of everything wrong with the economy, Jim Cramer says"," 8:11  PM ET Mon, 20 April 2020","""The main takeaway from today is that our economy remains closed and when an economy is closed … you don't need a lot of fossil fuels,"" the ""Mad Money"" host said."
Jim Cramer: Banks 'may need to say goodbye to their dividends'," 8:52  PM ET Thu, 16 April 2020","""[I]f there is a prolonged lockdown, then I think the banks are in trouble,"" the ""Mad Money"" host said."
Jim Cramer advises investors to sell these groups of stocks 'whenever they bounce'," 7:55  PM ET Thu, 16 April 2020","""Unfortunately, there are a lot more losers than winners here and many of them have become uninvestible,"" the ""Mad Money"" host said."
Cramer's lightning round: How to trade Delta Air Lines," 7:42  PM ET Thu, 16 April 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
,,
Chubb CEO: Forcing insurers to pay pandemic loss claims is 'plainly unconstitutional',"12:59  PM ET Fri, 17 April 2020","Extending business interruption losses is a ""self-inflicted injury"" and would create ""great uncertainty at a time when we have enough uncertainty,"" Chubb CEO Evan Greenberg told CNBC."
Jim Cramer: Johnson & Johnson vaccine candidate makes these stocks compelling," 8:03  PM ET Wed, 15 April 2020","The ""Mad Money"" host is convinced Johnson & Johnson's Covid-19 vaccine efforts will ""make you wish you owned a travel and leisure stock."""
Cramer's lightning round: Amarin has been 'too much of a dice roll'," 7:42  PM ET Wed, 15 April 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Jim Cramer: 18 stock picks worth owning over the S&P 500," 7:07  PM ET Wed, 15 April 2020","""Rule No. 1 for the new abnormal is that you stick with the winners and you leave the raggedy rest to the others,"" the ""Mad Money"" host said."
"Parsley Energy CEO says Texas must cut oil production, which hasn't happened since the 1970s"," 6:49  PM ET Wed, 15 April 2020","""My stance is if we don't do something quickly in the face of a pandemic, you are going to cripple this domestic industry on the other side,"" CEO Matt Gallagher told CNBC."
The US consumer will guide the economy to a nice recovery: Strategist,"10:42  PM ET Tue, 14 April 2020",Brian Belski of BMO Capital Markets explains why he thinks consumer spending will pick up despite projections to the contrary.
,,
Cramer on viral 'Mad Money' picture: A 'seething anger sweeping this country' aimed at Wall Street," 7:05  PM ET Tue, 14 April 2020","""I agree it's messed up, but the contrast between a roaring stock market and an obliterated job market does tell you a lot about what's happening at this moment,"" he said."
Cramer's lightning round: Tesla goes higher. Period," 7:03  PM ET Tue, 14 April 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
GlaxoSmithKline CEO calls coronavirus vaccine partnership with Sanofi 'unprecedented collaboration'," 1:48  PM ET Wed, 15 April 2020","""If we're successful … we're hoping to get to hundreds of millions of doses by the end of next year,"" GlaxoSmithKline CEO Emma Walmsley told CNBC's Jim Cramer."
"CARES Act opens path for companies to offer tax-free student loan benefits, startup Goodly CEO says","10:22  PM ET Mon, 13 April 2020","Goodly, a San Francisco startup, outfits businesses with student loan assistance programs. CEO Greg Poulin said benefits have become more achievable."
"The coronavirus pandemic 'creates an opportunity' for business, Levi Strauss CEO says"," 8:03  PM ET Mon, 13 April 2020","""I fundamentally believe, through this crisis, strong brands are going to emerge from this stronger than ever,"" Levi Strauss CEO Chip Bergh said."
Cramer's lightning round: I think Starbucks is a buy," 7:48  PM ET Mon, 13 April 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Jim Cramer: 'I'm feeling more confident about the future'," 7:27  PM ET Mon, 13 April 2020","""When you look at the facts, I think there's reason to be more hopeful than we have been,"" the ""Mad Money"" host said."
Cramer's week ahead: Washington is 'willing to spend big to keep this economy afloat'," 8:40  PM ET Thu,  9 April 2020","""Now, we just need to nail down that public-health side of the equation,"" the ""Mad Money"" host said."
Cramer's lightning round: Calithera is a 'very good spec'," 8:26  PM ET Thu,  9 April 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Nancy Pelosi says it's unclear when US economy can reopen — 'We could have a depression'," 7:50  PM ET Thu,  9 April 2020","""This is an era of entrepreneurship like none we've ever seen before because of the challenge to small businesses,"" the House speaker told CNBC."
Jim Cramer spots 8 'instant winners' after China's Wuhan lockdown lifted,"10:06  PM ET Wed,  8 April 2020","""With the opening of Wuhan last night it's a whole new ballgame for the second largest economy in the world,"" the ""Mad Money"" host said"
Cramer's lightning round: I like Uber more than Lyft," 8:28  PM ET Wed,  8 April 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"This new normal 'matters for your life and your portfolio,' Jim Cramer says"," 8:04  PM ET Wed,  8 April 2020","""Even when the lockdown ends you've got to be prepared for a new world that looks very different from the old one,"" the ""Mad Money"" host said."
Salesforce is working to bring another load of medical gear to the US this week," 8:13  PM ET Wed,  8 April 2020","""This is a moment where business has to be the greatest platform for change,"" Salesforce CEO Marc Benioff said after donating medical gear to New York."
,,
Australia's parliament set to pass huge stimulus plan as S&P ratings agency lowers 'AAA' outlook,"12:31  AM ET Wed,  8 April 2020","Australia's coveted ""AAA"" rating came under a cloud on Wednesday as its parliament returned to pass an emergency A$130 billion ($80 billion) stimulus package to cushion the economic blow of the coronavirus pandemic."
Jim Cramer says there is a key difference between the 'coronavirus recession' and Great Recession," 9:00  PM ET Tue,  7 April 2020","""I think it's incredible that there's still an appetite for risky debt here, and that could make a huge difference for an ultimate economic comeback,"" the ""Mad Money"" host said."
"Jim Cramer: The VIX shows 'big fear' is out of the market, but stocks aren't 'ready to roar'"," 7:07  PM ET Tue,  7 April 2020","""[T]here's no need to chase stocks after this week's rally. You can afford to be patient and buy the dips,"" the ""Mad Money"" host said."
Cramer's lightning round: 'Take a look at Boeing'," 7:03  PM ET Tue,  7 April 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Jim Cramer predicts 'U' shape recovery, says economy 'will bounce back gradually'"," 7:26  AM ET Wed,  8 April 2020","""In a U-shaped recovery I'm expecting, the stock market will pull back again and that is when you can put some money to work,"" the ""Mad Money"" host said."
Cramer breaks down stay-at-home stock picks 'for the long haul'," 8:08  PM ET Mon,  6 April 2020","Working remotely has so many advantages that ""I think we might be witnessing a more permanent shift in that direction,"" the ""Mad Money"" host said."
,,
Cramer's lightning round: 'I don't want to own any insurance here'," 7:22  PM ET Mon,  6 April 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Jim Cramer: Jobless numbers matter more to market than potential peak in coronavirus transmissions," 7:01  PM ET Mon,  6 April 2020","The ""Mad Money"" host said he will be more ""sustainably bullish"" about the market after the ""unemployment rate peaks."""
Cramer's lightning round: Delta Air Lines is not a buy," 7:36  PM ET Fri,  3 April 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's week ahead: 'We could be on the verge of a depression'," 7:35  PM ET Fri,  3 April 2020","""This is gonna be a brutal period, but if we handle things right, it will be a short depression,"" the ""Mad Money"" host said."
"Coronavirus shutdowns work 'to our advantage,' Constellation Brands CEO says"," 7:26  PM ET Fri,  3 April 2020","""You see a lot of channel shift, and you see this in many recessionary environments,"" Constellation Brands CEO Bill Newlands told CNBC's Jim Cramer."
Chipotle to honor $6.5 million in quarterly bonuses. CEO says it's the 'right thing to do'," 3:10  PM ET Fri,  3 April 2020","The pandemic pushed Chipotle into ""tough business situations, but we thought the right thing to do was step in and provide assistance,"" Niccol said."
"The S&P 500 hits an ominous milepost, but trader says it may not be so bad"," 7:40  AM ET Fri,  3 April 2020","The S&P 500 made a ""death cross"" this week, when the 50-day moving average crossed below the 200-day moving average."
"Is the S&P 500 likelier to hit 2,900 or 1,800 by the end of 2020?"," 2:32  AM ET Fri,  3 April 2020","Stephane Monier of Lombard Odier Private Bank outlines the two scenarios which could play out for the markets, and gives his potential targets for the S&P 500 under each one."
Chipotle gift card program to support health-care workers through the coronavirus epidemic," 1:25  PM ET Fri,  3 April 2020","""People that purchase these gift cards will be able to give 10% of those proceeds, roughly, to health-care organizations,"" CEO Brian Niccol said."
Larry Culp on GE Aviation's coronavirus furlough: 'There will be another side'," 8:48  PM ET Thu,  2 April 2020","""We're doing all that we can to support our customers at this time of rapid change and uncertainty,"" General Electric CEO Larry Culp said after temporary cuts were made in its aviation business."
Cramer's lightning round: 'I think it is the time to buy Domino's'," 7:31  PM ET Thu,  2 April 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Jim Cramer on Thursday's rally: Investors may be 'grasping at straws'," 6:53  PM ET Thu,  2 April 2020","""This market's so desperate for good news that buyers are willing to grasp even the thinnest of reeds,"" the ""Mad Money"" host said."
Macy's is the first of what could be a retail and energy purge from the S&P 500,"10:26  AM ET Thu,  2 April 2020","Judged solely by market capitalization, many companies in the index appear in danger of being kicked out."
Calvin Klein-parent PVH CEO on Macy's woes: 'We have a great deal of confidence' in their leadership,"10:01  PM ET Wed,  1 April 2020","PVH CEO Manny Chirico said Macy's will be a ""survivor when this is all over and we have a great deal of confidence in that management team."""
,,
"Calvin Klein-parent PVH CEO discloses COVID-19 diagnosis, says 'I'm fine'"," 9:51  PM ET Wed,  1 April 2020","During a recent visit to a Bronx hospital, PVH CEO Manny Chirico said he was ""shocked"" to learn that he was positive for COVID-19."
Cramer's lightning round: Procter & Gamble has 'unbelievable numbers'," 8:32  PM ET Wed,  1 April 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Jim Cramer: Investors can 'learn a lot' from first-quarter winners and losers," 7:46  PM ET Wed,  1 April 2020","""In the end, I think the winners from the first quarter keep winning as long as the pandemic rages, and the losers [will] keep losing,"" the ""Mad Money"" host said."
"Wall Street must retest lows after 'rude awakening' on coronavirus, Jim Cramer says"," 9:54  PM ET Wed,  1 April 2020","""I can't blame anyone for selling after that miserable first quarter with very little good news on any front in the battle against COVID,"" the ""Mad Money"" host said."
"People are having 'flashbacks to their childhood' as Chef Boyardee sales tick up, Conagra CEO says"," 8:49  PM ET Tue, 31 March 2020","""Chef Boyardee was growing nicely before COVID. It's doing very well now,"" Conagra Brands CEO Sean Connolly said."
Cramer's lightning round: Peloton is the 'ultimate stay-at-home stock'," 7:39  PM ET Tue, 31 March 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
,,
Macy's to be replaced on S&P 500 by Carrier Global," 7:28  PM ET Tue, 31 March 2020","Macy's is being removed from the S&P 500 Index and replaced by air conditioning company Carrier Global, according to S&P Dow Jones Indices, which oversees the index."
"Jim Cramer reveals second-quarter playbook, says the quarter is 'going to be so ugly'"," 7:15  PM ET Tue, 31 March 2020","The ""Mad Money"" host said investors should ""stick with the staples, the utilities and the stay-at-home tech stocks."
"Palo Alto CEO forgoes salary, commits to 'no COVID-19 layoffs' during pandemic"," 8:35  PM ET Tue, 31 March 2020","""I think we will come out of this strong both as an economy and as a company,"" Palo Alto CEO Nikesh Arora said in a ""Mad Money"" interview."
Abbott Labs CEO on new coronavirus test launches: 'There's a need for more'," 8:31  PM ET Mon, 30 March 2020","Abbott Labs teams are working around the clock to ramp up COVID-19 tests and to develop more diagnosis products, outgoing CEO Miles White said."
Cramer's lightning round: 'You do want to buy defense stocks right here'," 7:30  PM ET Mon, 30 March 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Microsoft 'might be the best tech stock in this market,' Jim Cramer says"," 7:16  PM ET Mon, 30 March 2020","Demand for cloud computing services has spiked during the coronavirus outbreak and Microsoft has been a ""huge beneficiary from the lockdowns,"" the ""Mad Money"" host said."
Cramer: Science can stop the economy from tumbling into a 'coronavirus-induced depression'," 7:04  PM ET Mon, 30 March 2020","""We need a cure or a vaccine, and in the last 24 hours we've gotten some serious go-aheads when it comes to potential treatments,"" ""Mad Money"" host Jim Cramer said."
Hospital supplier Owens & Minor is expanding capacity to meet personal protective equipment demands," 8:53  PM ET Fri, 27 March 2020","Since ramping up personal protective equipment production in January, Owens & Minor CEO Ed Pesicka said it will take ""5 to 6 months to make sure"" they can stretch operations further."
Cramer's lightning round: 'I like Lockheed Martin very much'," 6:55  PM ET Fri, 27 March 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Developing a vaccine takes 10 years. Sanofi seeks to do so within 18 months," 8:22  PM ET Fri, 27 March 2020","""I can assure you ... we're doing everything we can to be there as fast as we can,"" said Paul Hudson, CEO of the French pharmaceutical giant Sanofi."
Cramer's week ahead: 'Lately I've been feeling a bit more optimistic'," 6:27  PM ET Fri, 27 March 2020","If coronavirus responses fail to continually progress, ""I think the market will revisit its lows from earlier this week,"" CNBC's Jim Cramer said."
Veeva Systems sees product usage increase tenfold as biotech companies race to find COVID-19 cure,"10:23  AM ET Fri, 27 March 2020",Veeva Systems CEO Peter Gassner said its remote meeting application has been made free to help keep doctors and pharma companies connected during coronavirus.
Cramer's lightning round: Buy Marvell Tech because '5G is king'," 8:22  PM ET Thu, 26 March 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Micron's surprise quarter means a windfall could be in store for AMD and Nvidia, Jim Cramer says"," 6:53  PM ET Thu, 26 March 2020","Gaming and data demands offset weakness in other areas. Those two categories could be a boon for industry peers, the ""Mad Money"" host said."
,,
Jim Cramer says Thursday's rally delivered 'hope': 'We know that a victory is possible'," 6:41  PM ET Thu, 26 March 2020","""I know there's going to be bad news, but at least we're finally fighting back,"" Cramer said after a massive stimulus bill made progress in Congress."
'I'm a believer in my company' — Lowe's CEO says that's why he's personally buying shares,"10:49  AM ET Thu, 26 March 2020","""We think that we will create a great value and we'll create a great opportunity for shareholder value over the long term,"" Lowe's CEO Marvin Ellison told CNBC."
Cramer's lightning round: 'You want to buy Clorox right here'," 7:26  PM ET Wed, 25 March 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Jim Cramer says these two tech stocks will thrive 'when things get back to normal'," 8:15  PM ET Wed, 25 March 2020","Apple and Facebook are ""companies that are currently stinking up the joint, but should thrive when things get back to normal,"" the ""Mad Money"" host said."
"Wall Street 'has faith' in stimulus plan, but 'total lockdown' still needed, Jim Cramer says"," 6:29  PM ET Wed, 25 March 2020","The $2 trillion legislation ""won't create demand in a time when so many consumers are fearful, and it will not defeat the coronavirus,"" he said."
Cramer's lightning round: You buy Johnson & Johnson," 8:26  PM ET Tue, 24 March 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
,,
"Coronavirus 'supply shock' caused a delay in 5G rollout and guidance haircut, Skyworks Solutions CEO says"," 9:09  PM ET Tue, 24 March 2020","The 5G rollout is experiencing a ""pause"" and demand for the technologies will return and be met by 2021, Skyworks Solutions CEO Liam Griffin said."
"Tuesday's 'unsustainable rally' is far from what investors want to see, Jim Cramer says"," 7:44  PM ET Tue, 24 March 2020","The ""Mad Money"" host said Tuesday's rally was a ""machine-driven"" move."
"Charts show investors shouldn't be 'too exuberant' after Tuesday's rally, Jim Cramer says"," 8:26  PM ET Tue, 24 March 2020","""We still have a lot more bad news to process"" on the coronavirus front, the ""Mad Money"" host said."
"More falls ahead, S&P 500 to test the bottom at around 2200: Strategist"," 3:42  AM ET Tue, 24 March 2020","On Feb. 24, Jonathan Pain of The Pain Report predicted a 20% decline in the U.S. equity markets in a month. He now still sees more downside in the markets and expects the U.S. economy to contract in excess of 5% in the second quarter."
"Ventas withdraws 2020 guidance, declares quarterly dividend in face of coronavirus uncertainty"," 9:07  PM ET Mon, 23 March 2020","Ventas CEO Debra Cafaro cites a ""strong financial condition,"" importance of the dividend in its board's decision to declare its normal dividend, despite challenges during coronavirus outbreak."
Teladoc Health CEO: The health-care system is on the 'verge of a new era' for virtual care," 7:13  PM ET Mon, 23 March 2020","""We're happy to work ... to try to meet the incredible increase in demand"" during the coronavirus crisis, Teladoc Health CEO Jason Gorevic said."
"Business bailouts are not enough to stop the economic fallout of coronavirus, Jim Cramer says"," 6:46  PM ET Mon, 23 March 2020","The ""Mad Money"" host said the end to the economic damage from COVID-19 will arrive when the U.S. has adequate testing capacity and medical supplies. ""Legislation isn't enough,"" he said."
Stocks have 'at least 10% to 15%' further to fall: Scaramucci," 4:58  AM ET Mon, 23 March 2020","The U.S. is in a ""protracted bear market"" and stock prices could fall further, according to Anthony Scaramucci, an investor and former White House communications director."
NYSE readies itself for first ever all-electronic trading day," 1:34  PM ET Mon, 23 March 2020","With the floor of the New York Stock Exchange closed as of Monday, trading will resume electronically."
Crowdstrike reports a 'real uptick in phishing campaigns' during coronavirus crisis," 9:01  PM ET Fri, 20 March 2020","""When there's chaos and there's this fear in the street that's when the adversary tends to strike hardest,"" Crowdstrike CEO George Kurtz said."
AMN Healthcare recent acquisitions come just in time to fight coronavirus outbreak," 8:51  PM ET Fri, 20 March 2020","AMN Healthcare CEO Services CEO Susan Salka broke down the hospital staffing company's acquisitions of Stratus Video and b4health, and how they are being applied to fight COVID-19."
Cramer's lightning round: I would start a position in Abbott Labs," 8:11  PM ET Fri, 20 March 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's week ahead: We're fighting a 'two-front war' with coronavirus," 7:48  PM ET Fri, 20 March 2020","""Mad Money"" host Jim Cramer gave a preview of what he'll be keeping his eye on next week as the coronavirus fight heats up and the oil price war drags on."
"Coronavirus the worst crisis to hit markets since Great Depression, strategist says"," 4:38  AM ET Fri, 20 March 2020","Stephen Isaacs, chairman of the investment committee at Alvine Capital Management, shares his outlook for markets amid the coronavirus pandemic."
,,
"Web traffic spiked 20% in one week amid coronavirus shutdown, Verizon CEO says","10:31  PM ET Thu, 19 March 2020","""In less than a week, we have transformed this company dramatically,"" CEO Hans Vestberg said."
Cramer's lightning round: Snap stock makes me look 'like a complete bozo'," 7:18  PM ET Thu, 19 March 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Thursday's 'snapback' gives investors 'a glimpse into the future,' Jim Cramer says"," 7:10  PM ET Thu, 19 March 2020","Jim Cramer said, ""It's too late to sell. At this point, if you want out, you've got to wait for more of a bounce."""
Jim Cramer says these companies can thrive during and after coronavirus pandemic," 7:17  PM ET Thu, 19 March 2020","Investors must ""keep our eyes on the prize, and that prize is what works once the smoke clears,"" the ""Mad Money"" host said."
Hormel CEO says 'return to normalcy' in China shows businesses can rebound from coronavirus," 8:23  PM ET Wed, 18 March 2020","""There's actually a return to normalcy and so our plants are fully staffed,"" Hormel CEO Jim Snee said about business in China."
Cramer's lightning round: I would not be a seller of Blackstone Group," 8:08  PM ET Wed, 18 March 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
,,
"US must 'think big' on coronavirus response or risk losing influence to China, Jim Cramer says"," 7:29  PM ET Wed, 18 March 2020","""The rest of the world's looking to China for leadership, not us. That's going to be permanent if we don't get our act together,"" CNBC's Jim Cramer said."
Regeneron to treat coronavirus patients this week in trial using its rheumatoid arthritis drug," 3:28  PM ET Wed, 18 March 2020","""This could in a very short time give hope to the most critical people,"" Regeneron Chief Scientific Officer Dr. George Yancopoulos told CNBC."
"S&P 500 may hit 2,350 in near-term amid coronavirus crisis: Wells Fargo Asset Management"," 3:52  AM ET Wed, 18 March 2020","While it may be too late for investors to make margin adjustments amid the ongoing coronavirus outbreak, they might want to consider investing in mid to large cap companies and the investment grade corporate market, says Kirk Hartman, president and global chief investment officer of Wells Fargo Asset Management."
"Many stocks have bottomed; the indexes are still searching, Jim Cramer says"," 8:54  PM ET Tue, 17 March 2020","""We are at the beginning of the most treacherous phase of this [COVID-19] bear market,"" the ""Mad Money"" host said."
Cramer's lightning round: 'I like Square very much'," 8:23  PM ET Tue, 17 March 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Thermo Fisher ships coronavirus tests, aims to produce 5 million tests a week by April"," 8:57  PM ET Mon, 16 March 2020","With 1.5 million coronavirus tests in stock, Thermo Fisher Scientific expects to produce 5 million per week come April, CEO Marc Casper said."
Dow Inc CEO: China business rebounding as coronavirus outbreak eases," 8:43  PM ET Mon, 16 March 2020","""I think that tells us that we can see the same thing wash through the economy here,"" Dow Inc. CEO Jim Fitterling told CNBC's Jim Cramer."
"Jim Cramer says forget index funds, buy shares in companies 'we can't live without'"," 7:20  PM ET Mon, 16 March 2020","As the global economy slows, stick to the quality recession-proof stocks when they come down, the ""Mad Money"" host said."
Cramer's lightning round: Buy Waste Management 'as it goes down'," 7:19  PM ET Mon, 16 March 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Major averages fall double digits as coronavirus concerns intensify — what to watch now," 6:10  PM ET Mon, 16 March 2020",Jim Cramer and other top market commentators share what they're watching as the coronavirus-crazed stock market plunges yet again.
Forget FANG. Here's a new acronym for the coronavirus-fueled market panic," 8:52  AM ET Sun, 15 March 2020","""It's always darkest before the DAWN,"" says Strategic Wealth Partners chief Mark Tepper as he suggests investors buy shares of Domino's Pizza, Activision Blizzard, Walmart and Netflix to shield their portfolios as the coronavirus spreads."
This ETF hedges against 'black swan' market events — here's how it's holding up this year," 9:01  AM ET Sat, 14 March 2020","Amplify's Black Swan Growth and Treasury Core ETF (SWAN) is one of several funds leveraging minimum-volatility holdings to bring investors stability in times of market turmoil, says Amplify founder and CEO Christian Magoon."
Cramer's week ahead: Key metrics for the market are new coronavirus infections," 8:33  PM ET Fri, 13 March 2020","CNBC's Jim Cramer recommended investors start buying stocks with safe dividends, ""although the key is to buy them gradually on the way down."""
Cramer's lightning round: General Dynamics stock is a bet on a second Trump term," 8:11  PM ET Fri, 13 March 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
,,
Eli Lilly CEO aims to start testing coronavirus cure 'this summer'," 8:02  PM ET Fri, 13 March 2020","""We're starting this because we believe it could work,"" Eli Lilly CEO David Ricks told CNBC in explaining the company's partnership with AbCellera Biologics."
"Stocks may be due for a near-term bounce after worst day since 1987, trader says"," 7:45  AM ET Fri, 13 March 2020","The U.S. stock market appears primed for upside that could last longer than recent bounces, says Miller Tabak chief market strategist Matt Maley."
"Dow has further downside, look for S&P 500 support level at 2,400: Analyst"," 9:56  PM ET Sun, 15 March 2020","The Dow could easily see losses as much as 35%, while the S&P 500 could fall further if it fails to hold support at 2,400, says Daryl Guppy of guppytraders.com."
Cramer's lightning round: Trade Desk is a 'high-growth stock that will bounce back'," 9:00  PM ET Thu, 12 March 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Jim Cramer says these 'accidentally' high-yield stocks can 'hold up during a recession'," 8:51  PM ET Thu, 12 March 2020","""These are companies that I'm picking that have healthy businesses. I believe they'll hold up during the slowdown,"" the ""Mad Money"" host said."
"The 'only way' to beat coronavirus is to 'risk a recession,' Jim Cramer says"," 5:48  AM ET Fri, 13 March 2020","""If we don't do something like this six-part plan, we're going to have a serious financial emergency on top of the public health emergency,"" CNBC's Jim Cramer said."
,,
Elizabeth Warren calls for a 'grassroots' stimulus package to counter coronavirus economic impact," 8:46  PM ET Thu, 12 March 2020","Sen. Elizabeth Warren told CNBC's Jim Cramer she wants a targeted, ""big stimulus package"" that doesn't ""disproportionately"" advantage ""rich folks."""
